Doctor,Review
Aaron J. Balgaard| M.D.,“My results and possible treatment options were explained well.”
Aaron J. Balgaard| M.D.,“Dr. Balgaard was very thorough| explained what was going on and what would be happening. He was very kind and caring. The whole process with the joint replacement class| the notebook filled with questions| answers| exercises| everything I needed to know about knee replacement was addressed. Caring professionals staff heartland Orthopaedics Specialists| and we are so very blessed to have them in our community. Thank you!”
Aaron J. Balgaard| M.D.,“I was 100% satisfied with the treatment I received from Dr. Balgaard. He was upfront and honest about the outcome he felt I would see if I opted for shoulder surgery vs. natural healing. I went with natural healing. I think I regained almost full range-of-motion with my shoulder. Dr. Balgaard always took the time to answer any questions I would have at my appointments. He is professional. I felt the entire staff at Heartland Orthopedic Specialists were professional and expedient in moving me through my appointments.”
Aaron J. Balgaard| M.D.,“I broke my arm this past summer. I was referred to Dr. Balgaard. He discussed the options of surgery or natural healing for my situation. I felt he presented this information in a concise manner which helped guide me in my decision. I opted for natural healing. I am extremely happy with the outcome. At all appointments| he took time to answer any questions I had. I felt that he did an excellent job in handling my medical needs. I would highly recommend Dr. Balgaard to anyone needing guidance or surgery for an orthopedic injury.”
Emily J.M. Monroe| M.D.,“In September I found out I would need surgery on my knee. It turned out to be a little more extensive of a procedure than I was hoping for with a longer recovery than anyone ever wants! I am usually the caretaker| not the who needs to be taken care of. From my very first appointment with Dr. Monroe| I knew I was in great hands. She always entered the room with a smile. She always sat down and made eye contact while talking and was never in a hurry. I was still allowed time for questions and was ever offered to call with any needs or concerns. This was my first experience personally with Heartland Orthopedic Specialists| and I was so impressed on how kind everyone was to me from checking in| to the staff who brought me to my room| and of course Dr. Monroe. What a great addition you have made to your group of surgeons. In the most vulnerable of times| I was made to feel at ease and handled very well cared for. I also want to thank Dawn who prepped me for surgery. I was fighting back the tears the whole time| and she was terrific! Brandon and Scott in PT are the best! Thanks| everyone!”
Paul A. Dale| M.D.,“Dr. Dale was fast| efficient and professional! He was very skilled and had an excellent bedside manner. He answered my questions. I had confidence going into surgery that all would go well.”
Siegfried (Sig) Feierabend| M.D.,“Four weeks ago I had an anterior hip replacement performed by surgeon| Dr. Feierabend at Heartland. I no longer need a walker or a cane. For me| an anterior hip replacement meant faster recovery without as many precautions and fewer pain meds. I have only used over-the-counter pain medicine since I was discharged from the hospital. I am now cleared to "do anything I want to do." I am looking forward to long| pain free walks which I have not been able to do for some time. Anterior hip replacement might not be the answer for everyone| but it well worth looking into.”
Eric W. Nelson| M.D.,“The care I recieved in the hospital after my total knee was excellant all the nurses were so kind and understanding! I had the best care you can get while I was there and Dr. Nelson was also very kind and professional. If I ever have to get the other knee replaced I would go back to Heartland Orthopedic's again.”
Jefferson C. Brand| M.D.,“Dr. Brand is Great! He was professional| and very concise with his plans for my knee repair. And the staff have always shown their care for my individual situation. My surgery went wonderfully| and I have already felt back to normal| minus a little pain on the same day. Thank you all!”
Paul A. Dale| M.D.,“I had hip surgery 2 years ago and have no pain now. I go for walks| bowl and have had no problems. Dr. Dale was very helpful with answers to my questions and his care.”
Timothy E. Lindley| M.D.| Ph.D.,“Dr. Lindsey fused several discs in my neck. He was always very professional| while still appearing to be very caring. I also saw his PA Spaeth several|times| and was extremely thankful for his knowledge and pleasant personality!. He ordered a CT scan that found a brain aneurism and most probably saved my life!”
Paul A. Dale| M.D.,“Surgery was excellent. Still have a good hip. It hurt like hell| but I did all the exercises.”
Russell S. Sticha| D.P.M.,“Dr. Sticha was amazing. Very nice and personable| was always polite and answered whatever questions I had. I broke my ankle and leg| the surgery went great and my recovery even greater. I haven't had any problems in 2 years.”
Eric W. Nelson| M.D.,“Dr. Nelson always took the time to listen to my concerns and was always professional and courteous. He did a great job with my knee replacement. Pre-op appointments| the day of surgery| and post-op followups went as expected and I couldn't be more pleased with my new knee!”
Timothy E. Lindley| M.D.| Ph.D.,“Dr. Lindley was so easy to talk to and his whole staff is amazing. They took a very scary condition and made it seem a lot less scary. They all listen to my questions and answered them so I could understand. They asked me questions and listen to my answers too. You don't get that everywhere. I really felt like I and my family mattered to them.The hospital care staff that took care of my after surgery were great too. They seemed to really care about me. I was so grateful to everyone that I gave them all cookies for Christmas.”
Timothy E. Lindley| M.D.| Ph.D.,“Exceptional in every way!”
Siegfried (Sig) Feierabend| M.D.,“Dr. Feierabend was so helpful. Relieved my pain and did it where I wasn't scared.”
James E. Andrews Jr.| D.O.,“Great doc and an all around good person.”
Eric W. Nelson| M.D.,“Dr. Nelson is great. He wants to solve my joint problem and I feel confident in his service.”
Eric W. Nelson| M.D.,“I'm so glad I chose to see Dr. Nelson. He is amazing and he is so kind. From the bottom of my heart| thank you| Dr. Nelson!”
Thomas E. Dudley| M.D.| Ph.D.,“Dr. Dudley is an extremely caring physician with a wonderful personality. Dr. Dudley takes time to analyze results and when he provides his conclusion it is concise and explained in a manner that is easily understood. Dr. Dudley ensures that one is comfortable with the outcome and is always willing to answer questions. A little over two years ago he operated on my wife who had sustained a comminuted fracture of the wrist and this past summer he attended to our grand child's broken wrist. (Runs in the family I guess). I would highly recommend Dr. Dudley to anyone.”
James E. Andrews Jr.| D.O.,“I think I own a room at heartland as I have been there so often. I have always found the personnel to be friendly| efficient and professional. Wait times are minimal and I appreciate that. The doctors have always taken the time to explain things and don't seem to be rushing to get rid of you. At heartland| you are not just a number.”
