,Doctor,Review,5
0,Jarrad A. Merriman| MD| MPH,�Dr. Merriman is very nice and explained everything to me.�,5
1,Jaime D. Hernandez| MD,�Total hip replacement: I can't believe how well my hip feels and has felt from almost immediately after surgery. I'm ready to do a well-deserved testimonial for Dr. Hernandez| SCOI| the surgical center at UCLA Health| and everyone else involved. The care| service| and results are the highest level possible. It's nice to walk| move and live without pain| thank you!�,5
2,Nickul S. Jain| MD,�Dr. Jain did surgery on my lower lumbar. I am thrilled with his care| and I feel that he is an excellent Dr. and surgeon. I had severe unexpected pain after surgery; he ordered tests to ensure that the surgery went well and as a precaution| called in his colleague| Dr. Schopler| to review criteria and examine me. Everything was good with the operation| and Dr. Jain ordered steroids to calm nerves down| and all went well from there.�,5
3,Nickul S. Jain| MD,�Indeed| the most treasured of the Doctors I have been privileged to meet. Dr. Jain treated me as if I was a family member during all my meetings with him| before Surgery| and after. The surgery was undoubtedly successful| and the results were as described. If he weren't specialized| I'd see him for everything!�,5
4,Nickul S. Jain| MD,�Dr. Jain was a kind| competent| and excellent diagnostician. He sent me to Dr. Blose. She is superior to check my neck| which none of the other orthopedic Doctors has done. I have a pinched nerve in my neck. Dr. Jain gave me hope when I had given up on getting relief from my back pain.�,5
5,Stephen J. Snyder| MD,"�Dr. Snyder was always very professional| thorough| and had an excellent ""bedside manner.""�",5
6,Harpreet S. Bawa| MD,�My experience was amazing. I felt that all the staff was very interested in my physical and mental comfort. Everything was well explained. I never was made to feel that caring for me was a burden. I had no reluctance to ask for what I needed. On top of that my medical outcome is great so far! I would recommend SCOI and Dr. Bawa to anyone who needs this procedure.�,5
7,Stephen J. Snyder| MD,"�The waiting room was comfortable| and I was ushered in about 20 minutes after arrival. Dr. Snyder is extremely knowledgeable| took the time to look at my MRI| and listened carefully to my injury history. He was very thoughtful about his opinion and did not offer ""pie in the sky"" possibilities for the outcome for my shoulder. I would come back to the institute again if I have future ortho needs. Dr. Snyder and his staff are great!�",5
8,Harpreet S. Bawa| MD,�Dr. Bawa is excellent. Dr. Bawa and his staff took care of all of the details and was always available to answer questions and help in any way. He cared about me as if I was his only patient. It is lovely not to have the pain. I am doing very well.�,5
9,Harpreet S. Bawa| MD,�Dr. Bawa is fantastic. I recommend him highly. When I had a post-op problem| he responded to my email with an immediate phone call! And it was on a Sunday! It is clear that Dr. Bawa cares for his patients and does everything possible for a positive outcome. His staff is warm and friendly| and what can I say; it was all good!�,5
